,Amount,Frequency,Recency
214,1126.85,60,77
215,2057.99,111,22
216,1193.32,65,51
217,643.59,21,57
218,3218.98,163,30
219,315.6,20,277
220,2291.19,105,1
221,657.25,36,84
222,355.53,42,28
223,177.31,11,21
224,3214.81,95,15
225,1339.41,92,14
226,13612.07,474,1
227,180.1,11,231
228,305.1,18,275
229,641.13,38,105
230,2614.32,91,211
231,6388.35,307,22
232,4478.53,230,10
233,769.61,43,3
234,1270.88,64,9
235,640.5,31,56
236,2140.63,103,58
237,1689.18,101,89
238,5953.25,394,66
239,671.69,39,32
240,486.1,22,238
241,1174.58,53,23
242,185.9,10,114
243,1013.26,47,24
244,3344.64,24,127
245,477.91,31,129
246,1755.38,74,33
247,1346.97,45,4
248,3669.92,128,21
249,318.05,21,154
250,603.71,33,106
251,314.44,20,2
252,114.0,9,334
253,914.53,51,321
254,2209.85,43,148
255,601.98,38,10
256,3982.72,130,16
257,1152.06,56,10
258,686.05,36,18
259,91.68,5,29
260,245.1,13,10
261,3817.08,232,0
262,4863.88,38,7
263,61.75,4,324
264,-227.44,2,358
265,620.13,33,57
266,3743.18,168,6
267,1607.73,102,150
268,2986.15,94,9
269,225.89999999999998,10,329
270,610.52,42,4
271,1919.31,91,11
272,1331.39,45,24
274,1058.67,56,51
275,862.81,52,0
276,13677.59,646,14
277,12288.22,525,3
278,8221.09,362,3
279,2283.63,105,7
280,2863.08,157,27
281,89.14,7,371
282,4873.8099999999995,171,113
283,1247.61,72,25
284,389.01,16,205
285,1035.8,32,27
286,830.96,41,120
287,869.67,37,69
288,582.1,27,6
289,939.02,43,20
290,4867.99,270,7
291,797.71,53,79
292,219.0,12,19
293,274.7,22,63
294,2220.84,90,6
295,6814.24,348,14
296,603.42,33,291
297,2616.32,174,29
298,9294.1,257,2
299,1130.57,79,96
300,4241.63,142,22
301,848.55,38,0
302,4708.86,259,8
303,353.86,21,105
304,1053.49,69,3
305,980.98,56,150
306,238.25,19,70
307,608.1,42,4
308,5713.28,359,2
309,2628.98,164,31
310,904.33,57,84
311,725.07,69,3
312,1031.41,53,4
313,427.8,24,370
314,2609.1,124,27
315,3947.7,141,10
316,836.33,46,70
317,453.01,26,113
319,236.26000000000002,12,179
320,383.95,22,233
321,110.39999999999999,4,352
322,779.5699999999999,43,314
323,234.0,4,332
324,155.35,11,371
325,1013.04,38,77
326,427.6,27,63
327,546.43,134,133
328,9120.39,229,51
329,4196.01,103,1
331,3868.2,231,3
332,275.88,15,128
333,4366.78,53,80
335,2949.12,65,235
336,2203.2,6,249
337,112.07999999999998,4,86
338,4227.7,377,15
339,2791.59,97,116
340,1531.44,95,51
341,1898.52,69,7
342,494.08,18,137
343,1693.88,45,316
344,6989.63,310,3
345,1143.6,32,238
346,1351.45,12,210
347,892.47,55,59
348,1351.24,67,16
349,804.23,51,19
350,3868.7,159,20
351,707.72,30,20
352,2273.32,107,4
353,1603.87,86,1
354,574.42,59,8
355,305.71,15,2
356,463.66,20,9
357,91.85,4,64
358,324.92,21,191
359,192.60000000000002,2,373
360,400.53999999999996,25,256
361,545.48,24,334
362,860.41,45,52
363,430.48,14,18
364,194.18,17,359
365,6977.04,8,9
366,412.58,26,183
367,483.65000000000003,28,36
368,484.36,26,167
369,514.85,31,260
370,229.64000000000001,15,44
371,125.92,2,101
372,1063.46,47,147
373,572.2,29,95
374,166.04,4,280
375,1517.88,16,177
376,942.34,59,2
377,92.72,6,213
378,918.98,47,70
379,1759.5,5,74
380,397.12,25,59
381,1468.1200000000001,94,2
382,430.15000000000003,25,5
383,1018.71,56,2
384,253.05,12,321
385,6748.4,39,37
386,215.05,9,261
387,383.03,27,31
388,417.38,24,144
389,312.38,18,282
390,2612.86,175,58
391,134.1,12,172
392,683.13,123,33
393,5583.62,316,2
394,2714.27,116,143
395,3876.4,439,4
396,1118.99,34,69
397,1680.76,108,65
398,325.96000000000004,52,28
399,354.09,27,266
400,871.54,91,21
401,1050.8899999999999,51,30
402,135.18,50,96
403,299.75,20,289
404,1881.7,84,107
405,1289.15,115,78
406,38.1,3,372
407,2162.68,317,7
408,1106.4,46,210
409,504.2,6,51
410,147.12,3,137
411,1548.07,96,25
412,559.12,26,282
413,3986.22,551,25
414,1607.0600000000002,107,185
415,-14.899999999999999,2,365
416,380.64,11,83
417,599.97,66,326
418,374.0,4,281
419,343.2300000000001,2,142
420,2218.02,85,57
421,1535.77,154,3
422,841.64,49,17
423,552.5699999999999,12,44
424,298.0,7,275
425,1463.04,13,8
426,703.47,42,24
427,309.05,7,87
428,1158.27,72,62
429,1351.09,86,67
430,313.77,7,213
431,380.46999999999997,82,23
432,331.0,3,185
433,188.14,34,30
434,347.3,24,41
435,216.5,4,204
437,138.68,10,264
438,509.58,72,17
439,2919.81,63,11
440,246.0,4,58
441,2128.83,96,39
442,3075.04,75,22
443,1662.3,24,2
444,2483.63,50,4
445,363.65,22,148
446,2982.35,109,138
447,594.0,2,127
448,1301.44,52,7
449,164.23,28,16
451,405.38,28,160
452,176.97,29,63
453,929.95,31,87
454,694.05,45,4
455,2062.7000000000003,84,34
456,105.1,9,121
457,409.9,27,77
459,606.28,107,23
460,2156.45,130,1
461,1012.9,63,16
462,1504.27,120,14
463,114.14,9,25
464,11581.8,47,63
465,876.29,103,45
466,683.9,75,130
467,-3.75,1,300
468,604.51,30,35
469,462.95,23,287
470,1407.29,103,143
471,2053.7,118,15
472,4143.02,219,30
473,1843.0,23,1
474,1042.07,65,8
475,1382.8400000000001,80,5
476,329.85,17,9
477,4734.26,183,0
478,108.07,19,305
479,3979.04,244,3
480,266.39,16,6
481,1841.03,96,7
482,771.91,109,88
483,160.18,10,9
484,1194.75,33,2
485,135.95,5,111
486,452.24,151,6
487,10930.26,308,3
488,144.8,8,197
489,738.6,22,211
490,39.239999999999995,9,155
491,7092.06,24,155
492,372.21999999999997,20,29
493,377.2,34,239
494,97.5,4,18
495,1215.6200000000001,78,0
496,545.0,30,73
497,535.32,92,291
498,6854.51,68,2
499,409.5,13,30
500,503.76,31,22
501,414.76,27,22
502,902.22,73,3
503,200.72,5,77
504,1197.94,67,21
505,455.88,28,195
506,534.85,31,106
507,9797.92,342,3
508,120.94999999999999,7,317
509,149.05,6,105
510,5613.43,409,11
511,468.95,29,173
512,81.57,4,55
513,178.46999999999997,15,322
514,50.550000000000004,3,371
515,1311.6200000000001,107,8
516,4786.99,222,0
517,3365.43,124,2
518,3346.28,176,52
519,789.89,47,72
520,204.0,1,6
521,7272.75,459,15
522,2584.4,134,3
523,689.9,40,63
524,936.15,43,0
525,6912.0,26,113
526,659.68,47,22
527,1247.5,10,30
528,799.48,99,10
529,996.52,75,38
530,190.55,11,356
531,642.77,37,54
532,886.63,30,57
533,881.07,48,137
534,908.46,28,79
535,676.99,43,8
536,471.57,14,253
537,560.47,33,290
538,305.28000000000003,18,98
539,629.31,35,30
540,3079.1,196,31
541,1805.91,137,13
542,656.6800000000001,14,63
543,5684.61,422,8
544,348.15000000000003,18,211
545,1201.96,78,63
546,271.40000000000003,8,24
547,183.4,8,249
548,307.53,15,253
549,248.61,10,71
550,346.98,11,190
551,1119.49,69,12
552,205.86,14,372
553,430.9,49,23
554,115.46000000000001,15,81
555,344.0,2,9
556,3717.82,470,0
557,228.8,9,191
558,177.15,7,266
559,919.61,22,129
560,729.27,112,0
561,12432.28,380,0
562,220.10000000000002,6,3
563,58.08,6,178
565,3595.48,75,125
566,303.75,18,3
567,272.38,29,157
569,8689.39,161,8
570,319.82,24,20
571,459.83,26,70
572,7741.47,170,266
573,1708.8600000000001,30,20
574,74.39999999999999,6,70
575,5893.32,437,32
577,207.35999999999999,1,98
578,101.19,8,233
579,6336.29,310,0
580,243.94,8,39
581,1098.48,20,2
582,59.5,2,128
583,1524.07,60,43
584,350.06,10,372
585,766.84,50,2
586,1452.8700000000001,146,30
587,10510.0,280,0
588,2205.63,132,8
589,485.19,31,116
590,984.91,76,21
591,1125.0,82,19
592,30.599999999999998,1,238
593,254.73,53,268
594,922.39,55,93
595,3866.33,235,89
596,2056.29,142,4
597,259.17,15,77
598,64.0,2,93
599,1039.3,46,22
600,77.3,3,261
601,109.8,7,273
602,1740.63,105,72
603,3096.0,1,196
604,2545.38,139,49
605,3605.08,705,10
606,962.39,63,21
607,5055.79,174,15
608,423.72,46,107
609,2385.8,136,84
610,307.09,23,18
611,110.95,3,332
612,614.77,7,39
613,228.91,17,25
614,712.8000000000001,4,9
615,3348.48,347,28
616,1676.06,86,13
617,1250.3700000000001,75,202
618,486.22,15,5
619,-611.86,1,143
620,971.76,85,32
621,1721.57,89,48
622,1201.06,79,94
623,1379.75,122,8
624,91.8,4,21
625,112.75,8,312
626,1644.99,82,121
627,1021.48,42,45
628,414.7,42,281
629,791.33,65,18
630,1310.14,133,35
631,712.88,13,63
632,116.00999999999999,32,26
633,426.81,48,7
634,353.65,43,3
635,2817.03,314,15
636,492.84,72,45
637,282.45,17,64
638,5725.47,265,25
639,121.18,11,44
640,3957.78,94,7
641,1648.79,183,14
642,71.4,1,267
643,1539.69,84,39
644,236.02,37,336
645,114.60000000000001,2,10
646,260.68,29,18
647,911.94,63,94
648,117.88,29,60
649,60.7,3,135
650,1797.78,110,10
651,3384.09,229,9
652,9803.96,120,3
653,870.09,46,18
654,869.46,57,9
655,250.26000000000002,8,14
656,1205.9,150,58
657,5820.16,329,29
658,353.48,22,93
659,1197.42,56,9
660,780.58,143,8
661,1518.43,92,56
662,333.74,5,267
663,133.62,7,121
664,62.63999999999999,5,126
665,819.2900000000001,21,77
666,847.41,66,239
667,163.20000000000002,5,199
668,2150.85,109,59
669,6083.04,34,2
670,108.21000000000001,16,272
671,257.7,9,201
672,358.0,2,80
673,160.95,10,225
674,2763.41,612,3
675,1357.6,207,12
676,605.12,43,73
677,101.17000000000007,59,211
678,727.27,39,24
679,680.83,32,10
680,329.56,22,261
681,663.65,67,95
682,270.40000000000003,13,111
683,600.07,58,202
684,121.74000000000001,27,92
685,430.5,16,50
686,1922.1,143,17
687,501.12,25,17
688,465.68,26,124
689,711.41,23,91
690,1030.4,36,156
691,390.66,14,3
692,0.0,1,13
693,698.58,38,11
694,292.32,87,61
695,557.62,8,60
696,944.1,9,268
697,200.29,11,262
699,2107.66,91,52
700,3717.67,202,10
701,4404.44,224,2
702,3167.64,447,17
703,5315.92,320,0
704,590.0,1,365
705,178.26,101,36
706,276.56,15,30
707,138.98,16,112
708,590.9300000000001,30,63
709,258.4,8,15
710,542.73,46,40
711,126.30000000000001,11,63
712,814.86,85,121
713,1047.8400000000001,40,17
714,93.66,7,59
715,196.15,14,322
716,2709.12,187,22
717,361.11,42,155
718,578.9399999999999,31,38
719,873.74,54,189
720,197.95000000000002,11,359
721,87.4,5,136
722,2089.85,59,7
723,360.0,2,0
724,142.5,5,267
725,365.29,22,164
726,618.09,81,103
727,63.75,1,154
728,300.42,21,350
729,2000.86,81,3
730,15.0,1,119
731,1367.6100000000001,57,22
732,1456.79,107,6
733,1083.63,77,8
734,598.57,26,3
735,1555.32,78,21
736,578.66,75,1
737,5815.49,88,36
738,2140.07,135,63
739,640.76,20,0
740,10664.34,500,4
741,1491.7,110,69
742,567.36,11,71
743,199.48000000000002,25,16
744,787.85,21,2
745,7072.8,77,31
746,675.3,12,81
747,3617.57,109,38
748,1308.48,17,315
749,740.4,19,31
750,1140.93,53,92
751,350.9,21,13
752,3536.82,268,81
753,795.12,51,76
754,431.82,24,153
755,860.12,54,200
756,10736.48,134,44
757,775.85,42,260
758,303.93,22,172
759,2543.72,119,67
760,377.6,22,276
761,341.36,8,69
762,233.76,14,63
763,247.32,16,10
764,910.72,43,15
765,373.94,16,65
766,389.28,27,7
767,743.53,51,70
768,674.7,32,121
769,768.24,42,79
770,609.95,90,256
771,439.03,29,268
772,431.26,24,58
773,3085.4900000000002,169,2
774,992.5,60,17
775,0.0,20,66
776,2191.22,132,8
777,56.160000000000004,1,49
778,623.4,29,256
779,263.75,19,353
780,721.32,44,365
781,378.64,23,89
782,3312.25,158,60
783,772.9,38,80
784,1019.76,53,98
785,572.56,97,25
786,3626.81,173,20
787,222.99,15,280
788,4122.28,155,30
789,534.57,35,329
790,627.15,36,120
791,797.96,51,10
792,544.08,13,74
793,59.8,1,203
794,2312.8,164,1
795,307.72,21,184
796,1325.29,47,21
797,1539.18,39,72
798,457.34,26,191
799,621.23,39,126
800,75.0,3,17
801,252.49,11,0
802,572.451,27,73
804,988.91,30,8
805,213.55,18,106
806,1390.5,24,133
807,712.5,19,43
808,640.83,28,4
809,5845.44,314,11
810,221.06,16,63
811,140.35,10,134
812,1848.98,105,39
813,2601.55,128,50
814,1624.21,78,107
815,3550.7000000000003,159,0
816,582.6,29,18
817,218.47,74,9
818,1006.8,67,10
819,648.6899999999999,54,18
820,1269.1,46,66
821,534.24,10,73
822,3794.4900000000002,103,4
823,196.89,12,1
824,3408.06,167,13
825,283.71,54,254
826,296.64,13,91
827,1104.23,62,22
828,3465.67,199,16
829,291.88,19,23
830,2043.7199999999998,71,26
831,2916.45,444,25
832,590.0,2,258
833,356.97999999999996,17,165
834,1007.35,53,24
835,1737.8200000000002,65,17
836,9537.92,394,6
837,183.44,17,28
838,1445.0,27,38
839,143.25,10,182
840,674.68,41,57
841,297.95,18,99
842,1083.71,99,10
843,5656.75,306,1
844,165.0,10,98
845,2531.58,260,0
846,417.54,22,60
847,229.59,64,235
848,1431.78,86,190
849,1092.77,61,178
850,1441.53,81,37
851,291.0,16,197
852,1776.81,112,45
853,184.64,11,231
854,140.34,10,65
855,313.8,8,240
856,454.24,23,232
857,1122.41,69,77
858,575.4,34,57
859,8910.61,427,16
860,449.52,14,104
861,1215.82,86,51
862,1269.84,50,135
863,618.63,8,274
864,316.26000000000005,18,311
865,1990.1200000000001,52,7
866,617.93,36,10
867,321.05,20,282
868,1146.96,45,17
869,1136.77,67,22
870,1310.47,53,242
871,292.0,18,16
872,216.85,17,70
873,295.93,22,63
874,4282.88,227,67
875,452.82,29,311
876,2479.16,162,2
877,110.97,12,243
878,979.72,44,8
879,1785.16,117,0
880,251.21,15,260
881,205.1,10,126
882,152.20000000000002,4,73
883,891.12,59,72
884,1389.41,44,20
885,2109.07,143,59
886,659.4399999999999,38,85
887,110.80000000000001,9,49
888,3487.75,95,58
889,1093.65,436,0
890,125.80000000000001,5,29
891,3755.38,177,32
892,680.1800000000001,27,40
893,628.78,6,14
894,2263.76,224,33
895,307.76,15,78
896,483.8,22,204
897,210.31,66,33
898,270.79,76,182
899,5613.08,342,1
900,3448.29,179,0
901,1280.85,25,42
902,605.84,38,85
903,291.41,87,39
904,626.99,98,11
905,682.41,124,95
906,916.12,52,25
907,91.80000000000001,4,318
908,3539.53,121,65
909,4149.28,136,73
910,584.06,34,27
911,605.06,175,5
912,174.37,33,6
913,141.85999999999999,14,215
914,1799.33,82,81
915,777.53,49,83
916,647.74,85,143
917,240.22,38,18
918,874.71,176,40
919,192.85,44,172
920,373.75,85,16
921,239.49,27,242
922,2092.32,341,12
923,1384.25,33,205
924,294.4,26,49
925,732.0699999999999,46,22
926,6703.3,130,9
927,1658.3,85,24
928,467.04,23,14
929,118.0,10,308
930,781.03,53,155
931,142.4,24,306
932,347.0,11,31
933,2445.12,180,15
934,379.65,21,14
935,1976.12,89,10
936,1117.13,58,64
937,247.95999999999998,16,35
938,1990.28,129,107
939,396.97,26,52
940,697.04,166,5
941,167.42000000000002,41,46
942,5030.6,264,0
943,219.52,19,311
944,693.32,99,44
945,428.89,23,64
946,164.34,27,25
947,280.53999999999996,43,28
948,678.01,98,39
949,1115.43,228,11
950,1158.2,76,88
951,1610.46,201,23
952,399.99,24,312
953,544.18,44,39
954,177.34,13,173
955,213.85,19,116
956,672.44,86,30
957,257.23,19,252
958,1624.02,94,58
959,7792.36,59,22
960,1995.68,80,4
961,3021.77,12,99
962,2117.02,147,24
963,1575.16,188,32
964,1071.03,62,67
965,941.62,64,36
966,810.5,101,51
967,122.64,8,15
968,1033.34,40,73
969,354.8,66,215
970,519.44,28,30
971,2597.52,148,8
972,252.1,5,119
973,1670.22,80,9
974,346.6,23,256
975,1809.34,98,16
976,94.2,6,34
977,1095.08,63,45
978,2707.33,166,42
979,932.97,56,113
980,379.65,49,164
981,382.14,16,10
982,2421.47,112,9
983,1550.85,108,196
984,879.08,58,85
985,189.47,13,178
986,84.65,12,59
987,305.02,87,148
988,6216.07,501,2
989,218.55,9,50
990,349.7,25,74
991,-71.46,16,300
992,396.92,65,18
993,486.82000000000005,25,150
994,232.6,16,151
995,2202.31,216,0
996,827.83,57,17
997,59.5,3,186
998,64.23,31,285
999,3119.44,39,2
1000,72.0,8,182
1001,910.0,6,62
1002,172.25,9,58
1003,1466.8700000000001,55,24
1004,-32.0,4,324
1006,2504.13,90,30
1007,151.29999999999998,12,38
1008,308.58000000000004,14,154
1009,2265.12,197,25
1010,99.5,1,317
1011,2295.31,135,4
1012,711.86,28,7
1013,330.79,20,302
1014,806.41,48,266
1015,296.88,51,270
1016,6249.110000000001,346,3
1017,180.48,8,31
1018,252.06,13,218
1019,228.84,10,246
1020,1053.94,108,280
1021,138.28,21,268
1022,1432.26,103,31
1023,306.55,12,245
1024,1041.68,60,14
1025,799.9,43,116
1026,524.14,28,35
1027,2369.16,86,119
1028,199.85000000000002,6,216
1029,1809.81,118,49
1030,1079.6599999999999,42,38
1031,333.48,20,28
1032,1016.14,63,36
1033,752.6,43,135
1034,610.59,38,218
1035,491.86,33,27
1036,2766.18,208,24
1037,724.0,194,4
1038,339.59999999999997,30,199
1039,216.9,3,17
1040,350.75,23,240
1041,666.33,35,71
1042,3102.42,323,16
1043,1340.1499999999999,42,2
1044,1156.36,72,94
1045,291.54,26,150
1046,79.6,1,373
1047,948.25,28,95
1048,1647.26,24,53
1049,296.25,9,287
1050,1186.28,76,123
1051,741.26,35,287
1052,282.59999999999997,12,151
1053,2154.68,343,3
1054,5145.12,143,1
1055,3190.55,117,11
1056,659.4100000000001,25,32
1057,286.79,57,53
1058,1070.65,70,49
1059,3.552713678800501e-15,14,203
1060,1689.46,17,62
1061,1521.76,208,70
1063,2771.87,143,1
1064,2631.7,120,63
1065,1132.13,177,33
1066,345.0,22,81
1068,178.7,9,102
1069,360.01,57,6
1070,127.84,17,250
1071,912.0,115,12
1072,2462.79,31,9
1073,230.39999999999998,7,366
1074,309.04,31,75
1075,348.8,45,3
1076,1047.68,17,42
1077,195.55,13,65
1079,688.86,39,116
1080,558.32,33,309
1081,324.8,23,66
1082,3906.27,66,137
1083,277.07,17,254
1084,2635.79,137,30
1085,924.6,13,51
1086,256.38,10,63
1087,112.6,7,366
1088,1747.66,76,5
1089,155.05,12,304
1090,899.51,36,28
1091,591.75,14,183
1092,539.0,36,41
1093,1353.41,71,39
1094,1562.12,58,55
1095,4014.91,177,21
1096,555.04,33,23
1097,382.98,24,28
1098,1140.35,36,301
1099,385.64,59,144
1100,632.0,96,5
1101,957.66,40,18
1102,1698.94,46,32
1103,174.65,12,157
1104,412.05,93,57
1105,209.49,15,21
1106,-102.0,1,358
1107,2202.99,74,15
1108,40.949999999999996,4,17
1109,384.8,29,158
1110,834.57,55,24
1111,271.24,19,211
1112,691.73,174,5
1113,85.0,1,252
1114,3385.62,206,58
1115,361.62,20,10
1116,312.98,9,64
1117,847.61,58,24
1118,1255.0,5,91
1119,1537.95,101,51
1120,1586.81,94,87
1121,2651.46,81,95
1122,1056.94,24,8
1123,8025.0199999999995,114,8
1124,363.4,17,168
1125,216.17,11,56
1126,201.16,28,325
1127,1240.0,77,0
1128,2187.31,142,17
1129,299.56,22,244
1130,501.56,30,57
1131,145.67000000000002,7,73
1132,1015.29,61,30
1133,3192.54,33,6
1134,3104.95,307,122
1135,2751.25,118,1
1136,6389.8,338,22
1137,381.7,24,119
1138,540.45,18,357
1139,1786.79,104,53
1140,122.7,7,63
1141,117.24,3,85
1142,1281.53,36,54
1143,3219.77,165,20
1145,1131.28,66,2
1146,2538.75,155,0
1147,781.3000000000001,60,6
1148,506.8,28,188
1149,243.56,16,70
1150,349.55,19,203
1151,605.63,40,119
1152,416.90000000000003,15,92
1153,1860.8600000000001,114,0
1154,632.97,27,26
1155,821.1,21,297
1156,535.97,30,21
1157,2588.12,119,20
1158,311.16,17,49
1159,155.93,12,325
1160,388.52,19,15
1161,740.95,43,182
1162,2867.2,149,71
1163,332.64,26,36
1164,2347.05,126,79
1165,2580.91,148,56
1166,613.95,34,3
1167,272.04,18,49
1168,1212.8400000000001,30,49
1169,350.15999999999997,33,52
1170,172.25,7,351
1171,351.13,20,53
1172,1682.08,137,1
1173,616.65,45,35
1174,223.85000000000002,11,22
1175,348.99,21,74
1176,464.57,27,10
1177,802.85,10,168
1178,337.34,17,57
1179,1230.93,59,85
1180,307.4,16,294
1181,608.7900000000001,23,108
1182,922.1,31,263
1183,361.28,27,170
1184,158.85,9,168
1185,71.66,7,34
1186,556.75,46,22
1187,839.14,49,16
1188,4912.41,47,21
1189,561.5699999999999,11,78
1190,90.6,5,64
1191,102.0,3,360
1192,2427.32,160,2
1193,728.56,36,10
1194,674.45,39,175
1195,3246.091,138,210
1196,3515.68,20,6
1197,378.59,30,1
1198,322.96,33,153
1199,1026.42,152,4
1200,-102.45,5,371
1201,598.2,92,78
1202,230.22,12,20
1203,169.55,11,21
1204,664.54,35,307
1205,80.7,2,145
1206,8986.69,633,6
1207,2702.2200000000003,158,8
1208,190.25,15,70
1209,264.7,11,286
1210,413.59000000000003,28,48
1211,2503.23,340,30
1212,357.98,10,206
1213,196.79000000000002,15,14
1214,869.87,54,72
1215,200.14,11,59
1216,1861.11,115,38
1217,2590.46,112,29
1218,488.03,17,26
1219,7024.53,353,3
1220,320.46,13,16
1221,4098.8,239,19
1222,1266.08,41,65
1223,311.3,16,212
1224,850.63,86,11
1225,76.8,5,29
1226,3409.66,125,31
1227,2313.14,155,3
1228,1383.49,87,14
1229,3865.26,212,9
1230,633.71,16,205
1231,2030.3300000000002,40,45
1232,529.73,47,133
1233,4582.64,171,42
1234,2874.72,84,9
1235,962.19,30,115
1236,685.9300000000001,44,197
1237,328.8,11,277
1238,473.02,34,109
1239,505.18,39,76
1240,917.34,20,52
1241,4328.46,162,153
1242,1398.96,68,46
1243,642.8,39,16
1244,631.9,22,154
1245,440.0,28,224
1246,584.07,31,6
1247,327.7,16,121
1248,104.82,6,60
1249,467.66,15,62
1250,2360.09,243,17
1252,2929.84,152,1
1253,512.02,92,21
1254,1428.02,66,28
1255,626.65,38,284
1256,147.20000000000002,28,175
1257,1554.48,93,77
1258,152.2,6,32
1259,3542.19,241,40
1260,141.41,21,265
1261,652.82,209,26
1262,1659.75,6,108
1263,154.99,14,283
1264,1290.01,34,8
1265,375.13,88,276
1266,5639.15,505,16
1267,746.36,54,31
1269,225.36,56,19
1270,260.25,4,123
1271,92.46,6,64
1272,725.6400000000001,10,105
1274,6147.4,291,23
1275,183.6,8,266
1276,6135.38,203,4
1277,10464.85,111,9
1278,1188.32,82,28
1279,152.55,7,266
1280,374.7,52,63
1281,265.85,24,319
